"U2","mesh_voltage","Ex","Ey","Ez","lifetime","time_cost"
-0.25,100,-0.08,0.02,0.04,,
-0.25,100,-0.08,0.02,0.04,,
-0.25,100,-0.08,0.02,0.04,,
-0.25,100,-0.08,0.02,0.04,,
-0.25,100,-0.08,0.02,0.04,,
-0.32,70,-0.104,0.044,0.064,,
-0.19,65,-0.104,0.044,0.064,,
-0.31,70,-0.104,-0.004,0.08,,
-0.35,130,-0.04,0,0.016,,
-0.19,130,-0.056,0,0,,
-0.15,50,-0.12,-0.02,0.08,,
-0.31,70,-0.12,0.044,0.048,,
-0.19,125,-0.104,-0.004,0.08,,
-0.2,125,-0.12,-0.004,0,,
-0.35,150,-0.12,0.06,0.08,,
-0.15,150,-0.12,-0.02,0.08,,
-0.19,105,-0.1,0.04,0.08,,
-0.15,150,-0.12,0.06,0.08,,
-0.25,100,-0.08,0.02,0.04,,
-0.31,130,-0.06,0,0.08,,
-0.3,125,-0.04,-0.02,0.06,,
-0.15,150,-0.1,0.032,0.016,,
-0.3,125,-0.12,0.04,0.08,,
-0.35,80,-0.104,0.044,0.016,,
-0.15,130,-0.04,-0.004,0.032,,
-0.32,150,-0.104,0.044,0.016,,
-0.19,70,-0.04,-0.004,0.016,,
-0.15,50,-0.04,0.06,0.08,,
-0.15,50,-0.04,-0.02,0,,
-0.3,130,-0.04,0.048,0.064,,
-0.31,130,-0.056,0.044,0.016,,
-0.25,100,-0.08,0.02,0.04,,
-0.31,50,-0.104,-0.02,0.02,,
-0.19,70,-0.104,-0.004,0.016,,
-0.35,50,-0.12,-0.02,0.08,,
-0.35,150,-0.04,0.06,0,,
-0.31,150,-0.056,0.044,0.016,,
-0.35,70,-0.056,0,0.016,,
-0.35,50,-0.04,0.06,0.08,,
-0.15,50,-0.12,0.06,0,,
-0.31,70,-0.056,0.044,0.016,,
-0.31,125,-0.104,0.02,0,,
-0.2,50,-0.084,0,0.08,,
-0.25,100,-0.08,0.02,0.04,,
-0.19,110,-0.04,-0.02,0.064,,
-0.26,150,-0.056,-0.02,0.016,,
-0.19,150,-0.06,0.016,0.044,,
-0.19,130,-0.12,0.04,0.064,,
-0.3,130,-0.08,-0.004,0,,
-0.19,150,-0.1,0.06,0.064,,
-0.15,75,-0.056,-0.008,0.056,,
-0.2,130,-0.04,0.044,0.04,,
-0.15,75,-0.12,0.044,0.016,,
-0.35,50,-0.04,0.06,0,,
-0.15,120,-0.064,0.044,0.08,,
-0.24,125,-0.12,0.06,0.04,,
-0.25,100,-0.08,0.02,0.04,,
-0.31,150,-0.08,-0.004,0.064,,
-0.31,130,-0.084,0.06,0.016,,
-0.19,130,-0.056,-0.004,0.016,,
-0.35,150,-0.04,-0.02,0.08,,
-0.15,50,-0.12,-0.02,0,,
-0.31,130,-0.056,-0.004,0.06,,
-0.28,70,-0.104,0.06,0,,
-0.35,150,-0.04,-0.02,0,,
-0.15,50,-0.04,0.06,0,,
-0.24,75,-0.056,0.044,0.08,,
-0.35,50,-0.12,0.06,0.08,,
-0.19,50,-0.056,0.044,0.06,,
-0.25,100,-0.08,0.02,0.04,,
-0.15,130,-0.056,0.06,0.024,,
-0.19,70,-0.056,-0.004,0.016,,
-0.31,50,-0.06,0.044,0.02,,
-0.35,75,-0.088,0.016,0.064,,
-0.23,150,-0.052,0.044,0.064,,
-0.35,50,-0.04,-0.02,0.08,,
-0.19,130,-0.104,0.044,0,,
-0.3,75,-0.04,0.044,0.064,,
-0.35,80,-0.06,-0.02,0.064,,
-0.31,130,-0.08,0.06,0.064,,
-0.15,80,-0.104,-0.008,0.064,,
-0.15,70,-0.056,0.04,0,,
-0.25,100,-0.08,0.02,0.04,,
-0.35,150,-0.12,-0.02,0.08,,
-0.19,70,-0.08,0.06,0.02,,
-0.31,50,-0.056,-0.004,0.044,,
-0.2,150,-0.12,-0.004,0.064,,
-0.18,130,-0.08,-0.004,0.064,,
-0.15,130,-0.1,-0.004,0.024,,
-0.35,100,-0.056,0.06,0.044,,
-0.35,150,-0.12,-0.02,0,,
-0.19,70,-0.108,-0.02,0.048,,
-0.27,70,-0.104,0.06,0.08,,
-0.35,150,-0.04,0.06,0.08,,
-0.15,150,-0.048,-0.02,0.08,,
-0.25,100,-0.08,0.02,0.04,,
-0.27,125,-0.12,0.044,0.016,,
-0.19,65,-0.104,0.044,0.064,,
-0.35,50,-0.08,0.04,0.064,,
-0.19,150,-0.104,-0.02,0.02,,
-0.15,75,-0.04,0.028,0.064,,
-0.15,150,-0.04,0.06,0.08,,
-0.35,100,-0.084,-0.02,0.02,,
-0.23,125,-0.104,-0.02,0.064,,
-0.19,50,-0.056,-0.004,0.06,,
-0.24,105,-0.052,0.06,0.016,,
-0.3,95,-0.12,-0.008,0.064,,
-0.31,70,-0.056,0.044,0,,
-0.25,100,-0.08,0.02,0.04,,
-0.35,120,-0.06,0.024,0,,
-0.19,100,-0.1,0.06,0.02,,
-0.19,50,-0.1,0.044,0.02,,
-0.15,130,-0.088,0.02,0.064,,
-0.35,70,-0.12,0.012,0.016,,
-0.15,150,-0.04,-0.02,0,,
-0.31,70,-0.04,-0.004,0.016,,
-0.31,65,-0.104,-0.004,0.064,,
-0.23,105,-0.04,0.044,0.012,,
-0.15,50,-0.04,-0.02,0.08,,
-0.24,50,-0.12,0,0.06,,
-0.35,50,-0.12,0.06,0,,
-0.25,100,-0.08,0.02,0.04,,
-0.31,150,-0.056,0,0.036,,
-0.19,150,-0.04,-0.004,0.08,,
-0.35,50,-0.12,-0.02,0,,
-0.3,70,-0.04,0.016,0.08,,
-0.19,130,-0.104,0.044,0.016,,
-0.31,70,-0.056,-0.004,0.064,,
-0.19,150,-0.056,0.036,0,,
-0.15,50,-0.12,0.06,0.08,,
-0.2,75,-0.12,-0.004,0.016,,
-0.31,150,-0.104,0.044,0.064,,
-0.15,70,-0.12,0.028,0.06,,
-0.18,50,-0.08,0.008,0.016,,
-0.25,100,-0.08,0.02,0.04,,
-0.35,130,-0.056,0.036,0.08,,
-0.31,50,-0.104,0.044,0.02,,
-0.3,125,-0.12,-0.004,0.016,,
-0.31,70,-0.06,0.06,0.064,,
-0.15,150,-0.12,-0.02,0,,
-0.35,130,-0.104,-0.004,0.064,,
-0.35,50,-0.04,-0.02,0,,
-0.19,70,-0.052,0.044,0.016,,
-0.22,70,-0.06,-0.02,0.08,,
-0.26,50,-0.072,-0.02,0,,
-0.32,150,-0.104,-0.004,0.016,,
-0.15,150,-0.12,0.06,0,,
-0.25,100,-0.08,0.02,0.04,,
-0.3,125,-0.1,0.016,0.08,,
-0.15,150,-0.04,0.06,0,,
-0.35,150,-0.12,0.06,0,,
-0.2,70,-0.104,0.016,0,,
-0.31,70,-0.104,-0.004,0,,
-0.26,100,-0.056,-0.02,0,,
-0.35,130,-0.104,0.044,0.048,,
-0.19,130,-0.056,0.044,0.064,,
-0.31,130,-0.104,-0.02,0.04,,
-0.25,50,-0.04,0.016,0.036,,
-0.15,90,-0.08,-0.02,0.016,,
-0.18,75,-0.056,0.06,0.064,,
-0.25,100,-0.08,0.02,0.04,,
-0.25,100,-0.08,0.02,0.04,,
-0.25,100,-0.08,0.02,0.04,,
-0.25,100,-0.08,0.02,0.04,,
-0.25,100,-0.08,0.02,0.04,,
