U2,RF_amplitude,mesh_voltage,MCP_front,Ex,Ey,Ez,time_cost,lifetime
-0.1025,2.4,104,300,-0.092,0.068,0.012,,
-0.4,8,200,500,-0.14,0.02,0.06,,
-0.05,1,200,500,-0.08,0.02,0.06,,
-0.4,2.4,110,340,-0.092,0.068,0,,
-0.4,8,80,300,-0.14,0.08,0.06,,
-0.33,6.6,80,300,-0.128,0.068,0.048,,
-0.4,1,104,460,-0.14,0.065,0.012,,
-0.05,1,80,500,-0.14,0.08,0,,
-0.33,1,104,460,-0.14,0.053,0.048,,
-0.4,1,176,340,-0.128,0.08,0.012,,
-0.4,2.4,200,500,-0.128,0.068,0.03,,
-0.4,8,80,300,-0.08,0.029,0,,
-0.05,1,80,300,-0.08,0.08,0.06,,
-0.4,1,200,300,-0.08,0.08,0.06,,
-0.225,4.5,140,400,-0.11,0.05,0.03,,
-0.4,8,200,340,-0.092,0.068,0.048,,
-0.4,6.6,200,500,-0.107,0.08,0.012,,
-0.225,8,104,410,-0.128,0.08,0,,
-0.4,1,200,300,-0.08,0.02,0,,
-0.12,1,176,460,-0.14,0.032,0.048,,
-0.33,2.75,182,300,-0.128,0.02,0.012,,
-0.05,1,80,330,-0.128,0.032,0.06,,
-0.4,6.6,176,500,-0.08,0.068,0.048,,
-0.12,6.6,176,340,-0.128,0.068,0,,
-0.4,8,200,300,-0.14,0.08,0,,
-0.4,2.75,104,460,-0.08,0.068,0.06,,
-0.05,2.4,80,300,-0.08,0.032,0.012,,
-0.33,1,104,460,-0.092,0.02,0.048,,
-0.1025,8,200,500,-0.14,0.08,0.06,,
-0.12,2.4,80,460,-0.14,0.068,0.012,,
-0.33,2.4,200,340,-0.14,0.068,0.012,,
-0.2425,2.4,110,500,-0.14,0.032,0,,
-0.05,2.4,176,460,-0.092,0.02,0.048,,
-0.33,6.6,80,340,-0.092,0.08,0.048,,
-0.12,8,176,460,-0.092,0.032,0.06,,
-0.225,4.5,140,400,-0.11,0.05,0.03,,
-0.12,2.4,80,460,-0.08,0.029,0.012,,
-0.225,4.5,140,400,-0.11,0.05,0.03,,
-0.1025,1,182,460,-0.14,0.08,0,,
-0.4,1,80,300,-0.08,0.08,0,,
-0.4,8,200,500,-0.14,0.02,0,,
-0.4,1,80,500,-0.131,0.068,0.051,,
-0.33,6.6,104,500,-0.08,0.08,0.06,,
-0.05,8,80,330,-0.08,0.029,0,,
-0.05,1,200,500,-0.08,0.08,0,,
-0.05,1,200,300,-0.14,0.02,0,,
-0.05,2.05,200,300,-0.08,0.071,0,,
-0.4,2.05,98,500,-0.14,0.08,0.06,,
-0.12,2.4,200,460,-0.128,0.032,0.06,,
-0.05,1,104,500,-0.125,0.035,0.048,,
-0.05,8,80,330,-0.092,0.08,0.012,,
-0.4,6.25,104,460,-0.128,0.032,0.06,,
-0.33,6.6,176,460,-0.128,0.029,0.06,,
-0.4,1,80,300,-0.14,0.08,0,,
-0.33,6.6,200,300,-0.128,0.032,0.048,,
-0.05,8,80,500,-0.086,0.08,0,,
-0.05,1,200,500,-0.08,0.02,0,,
-0.3475,2.05,80,300,-0.08,0.071,0,,
-0.33,1,176,300,-0.08,0.08,0.012,,
-0.4,1,80,300,-0.08,0.08,0.06,,
-0.12,1,104,410,-0.128,0.02,0.012,,
-0.33,6.6,200,460,-0.08,0.08,0.048,,
-0.4,8,176,300,-0.08,0.068,0.051,,
-0.4,1,80,300,-0.08,0.02,0,,
-0.05,6.25,80,350,-0.092,0.068,0,,
-0.05,1,200,350,-0.08,0.032,0.048,,
-0.33,6.6,200,500,-0.128,0.068,0.048,,
-0.4,2.4,104,300,-0.092,0.068,0.06,,
-0.33,6.6,146,500,-0.08,0.068,0.012,,
-0.12,2.4,170,340,-0.131,0.02,0,,
-0.33,1,176,460,-0.14,0.02,0.012,,
-0.05,1,98,330,-0.08,0.02,0,,
-0.05,6.6,80,460,-0.14,0.068,0.012,,
-0.12,8,104,460,-0.128,0.02,0,,
-0.05,2.4,104,340,-0.128,0.08,0,,
-0.4,1,80,300,-0.08,0.02,0.006,,
-0.05,1,80,300,-0.14,0.02,0.06,,
-0.05,4.85,200,460,-0.128,0.032,0.048,,
-0.2425,8,176,390,-0.08,0.08,0.045,,
-0.05,8,140,340,-0.128,0.068,0.048,,
-0.33,6.6,80,340,-0.092,0.02,0.012,,
-0.225,4.5,140,400,-0.11,0.05,0.03,,
-0.12,6.6,146,500,-0.101,0.08,0.06,,
-0.05,8,80,500,-0.14,0.02,0,,
-0.4,6.6,80,460,-0.092,0.032,0.06,,
-0.3125,8,104,500,-0.128,0.032,0.048,,
-0.4,8,200,300,-0.089,0.02,0.051,,
-0.12,8,110,500,-0.128,0.068,0.012,,
-0.33,8,80,410,-0.092,0.068,0.048,,
-0.33,2.4,176,300,-0.08,0.032,0.012,,
-0.225,4.5,140,400,-0.11,0.05,0.03,,
-0.12,8,176,500,-0.092,0.068,0.012,,
-0.05,8,80,300,-0.14,0.02,0,,
-0.225,4.5,140,400,-0.11,0.05,0.03,,
-0.05,8,200,500,-0.08,0.08,0,,
-0.33,2.75,176,460,-0.08,0.02,0.048,,
-0.4,2.4,80,460,-0.092,0.035,0.048,,
-0.33,2.4,176,300,-0.092,0.068,0,,
-0.3125,1,104,340,-0.08,0.032,0,,
-0.33,2.4,200,460,-0.092,0.032,0.06,,
-0.05,8,80,340,-0.095,0.068,0.048,,
-0.12,1,170,500,-0.128,0.068,0.048,,
-0.4,1,80,330,-0.092,0.08,0.012,,
-0.225,4.5,140,400,-0.11,0.05,0.03,,
-0.4,8,80,500,-0.08,0.02,0.06,,
-0.4,1,80,300,-0.14,0.02,0,,
-0.12,6.6,182,300,-0.092,0.02,0.048,,
-0.05,1,80,500,-0.08,0.08,0.06,,
-0.4,1,176,460,-0.08,0.08,0.048,,
-0.12,8,200,500,-0.128,0.035,0.06,,
-0.05,1,200,500,-0.14,0.02,0.06,,
-0.33,1,104,300,-0.14,0.071,0,,
-0.4,1,200,500,-0.089,0.08,0,,
-0.4,1,80,500,-0.134,0.02,0,,
-0.225,4.5,140,400,-0.11,0.05,0.03,,
-0.1375,6.25,200,500,-0.128,0.08,0.015,,
-0.4,8,104,340,-0.128,0.032,0.048,,
-0.05,6.95,200,300,-0.14,0.02,0.051,,
-0.4,2.4,200,340,-0.128,0.068,0.012,,
-0.05,6.6,104,460,-0.092,0.08,0.012,,
-0.3475,6.6,176,500,-0.08,0.032,0.048,,
-0.3475,2.4,80,460,-0.128,0.029,0.012,,
-0.05,1,80,500,-0.08,0.02,0,,
-0.12,2.4,200,340,-0.128,0.02,0.012,,
-0.3125,2.4,80,460,-0.08,0.032,0.012,,
-0.33,2.4,104,340,-0.14,0.02,0.048,,
-0.12,6.6,200,500,-0.08,0.032,0.045,,
-0.4,8,200,470,-0.089,0.02,0,,
-0.4,1,80,500,-0.14,0.02,0.06,,
-0.12,2.4,200,340,-0.14,0.065,0.048,,
-0.33,6.25,104,340,-0.14,0.02,0.009,,
-0.12,1,80,300,-0.128,0.068,0.06,,
-0.4,8,80,460,-0.14,0.032,0,,
-0.12,8,104,300,-0.092,0.032,0.012,,
-0.4,6.95,98,500,-0.08,0.032,0.048,,
-0.05,6.6,80,460,-0.131,0.08,0.06,,
-0.33,1,176,300,-0.128,0.035,0.048,,
-0.12,6.6,104,300,-0.128,0.02,0.012,,
-0.225,4.5,140,400,-0.11,0.05,0.03,,
-0.33,1,176,460,-0.107,0.02,0.048,,
-0.12,6.6,200,300,-0.128,0.068,0.048,,
-0.4,2.4,80,300,-0.128,0.08,0.012,,
-0.12,6.6,104,500,-0.092,0.032,0.06,,
-0.1375,1,176,300,-0.128,0.08,0.024,,
-0.33,1,104,300,-0.08,0.068,0.051,,
-0.05,1,80,500,-0.14,0.02,0.06,,
-0.05,8,80,300,-0.131,0.08,0.009,,
-0.4,4.5,176,460,-0.14,0.068,0.06,,
-0.05,8,200,300,-0.08,0.08,0.06,,
-0.05,6.6,176,460,-0.128,0.068,0,,
-0.12,3.45,110,500,-0.08,0.032,0,,
-0.2425,1,200,400,-0.08,0.047,0.012,,
-0.4,8,200,500,-0.14,0.08,0.06,,
-0.1025,6.95,98,300,-0.14,0.02,0.051,,
-0.12,8,80,460,-0.14,0.032,0.024,,
-0.225,4.5,140,400,-0.11,0.05,0.03,,
-0.05,8,80,300,-0.14,0.02,0.06,,
-0.05,6.6,80,500,-0.08,0.029,0.048,,
-0.4,1,80,330,-0.08,0.02,0.06,,
-0.05,6.6,176,500,-0.092,0.032,0.048,,
-0.12,6.6,104,340,-0.128,0.02,0.012,,
-0.05,1,176,300,-0.08,0.071,0.06,,
-0.33,1,176,340,-0.08,0.08,0.048,,
-0.4,1,80,500,-0.14,0.08,0,,
-0.05,1,176,300,-0.113,0.035,0.012,,
-0.4,1,200,300,-0.14,0.02,0.06,,
-0.12,1,104,500,-0.092,0.068,0,,
-0.05,8,200,330,-0.08,0.02,0.009,,
-0.05,8,80,300,-0.08,0.02,0,,
-0.4,8,80,300,-0.08,0.08,0.06,,
-0.3475,8,80,330,-0.128,0.02,0,,
-0.225,2.4,104,450,-0.128,0.02,0.06,,
-0.33,1,200,330,-0.092,0.068,0.06,,
-0.05,6.6,140,400,-0.128,0.032,0.06,,
-0.33,6.6,176,500,-0.092,0.02,0.048,,
-0.05,2.4,176,340,-0.128,0.032,0,,
-0.12,6.6,104,340,-0.092,0.08,0.06,,
-0.4,8,80,470,-0.089,0.08,0,,
-0.4,1,176,340,-0.128,0.032,0.012,,
-0.05,1,80,500,-0.08,0.08,0,,
-0.4,4.85,104,300,-0.092,0.032,0.03,,
-0.225,4.5,140,400,-0.11,0.05,0.03,,
-0.33,1,110,340,-0.14,0.068,0.06,,
-0.05,2.4,104,340,-0.092,0.02,0,,
-0.4,8,104,340,-0.128,0.068,0.03,,
-0.12,8,200,460,-0.092,0.068,0.06,,
-0.33,8,104,300,-0.092,0.035,0.048,,
-0.33,2.05,104,460,-0.092,0.032,0,,
-0.4,8,80,330,-0.089,0.08,0.009,,
-0.4,8,98,470,-0.08,0.02,0,,
-0.12,2.4,104,500,-0.092,0.08,0,,
-0.1025,8,80,500,-0.14,0.08,0,,
-0.1025,8,200,500,-0.14,0.08,0,,
-0.12,6.6,200,300,-0.14,0.032,0.06,,
-0.33,8,200,460,-0.128,0.08,0.012,,
-0.33,1,176,500,-0.092,0.08,0.048,,
-0.4,1,80,500,-0.08,0.08,0,,
-0.05,2.75,104,300,-0.125,0.068,0.06,,
-0.05,2.4,176,340,-0.08,0.068,0.012,,
-0.05,8,200,300,-0.14,0.02,0,,
-0.225,4.5,140,400,-0.11,0.05,0.03,,
-0.4,6.95,176,500,-0.14,0.068,0,,
-0.05,8,80,500,-0.08,0.02,0,,
-0.225,4.5,140,400,-0.11,0.05,0.03,,
-0.33,6.6,104,500,-0.128,0.08,0.048,,
-0.12,1,80,460,-0.08,0.068,0.027,,
-0.33,6.6,104,500,-0.128,0.02,0,,
-0.12,8,176,500,-0.092,0.02,0.06,,
-0.4,8,80,300,-0.08,0.08,0,,
-0.4,1,200,460,-0.092,0.065,0.015,,
-0.2075,8,200,470,-0.08,0.02,0,,
-0.4,8,80,300,-0.14,0.08,0,,
-0.12,8,176,460,-0.128,0.02,0.048,,
-0.12,6.25,176,300,-0.092,0.08,0.06,,
-0.05,6.6,104,340,-0.128,0.02,0.06,,
-0.33,2.4,80,340,-0.14,0.032,0.048,,
-0.4,2.4,110,500,-0.095,0.02,0.015,,
-0.05,8,80,500,-0.08,0.08,0.06,,
-0.05,6.6,200,340,-0.092,0.068,0.03,,
-0.12,1,80,300,-0.092,0.068,0.048,,
-0.3475,8,200,470,-0.092,0.08,0.06,,
-0.4,1,200,500,-0.08,0.029,0.06,,
-0.4,8,200,340,-0.128,0.068,0.03,,
-0.225,4.5,140,400,-0.11,0.05,0.03,,
-0.4,1,200,500,-0.14,0.08,0,,
-0.12,1,140,460,-0.14,0.068,0.012,,
-0.33,6.6,104,300,-0.08,0.032,0.048,,
-0.33,2.4,110,500,-0.08,0.032,0.06,,
-0.12,6.95,80,300,-0.08,0.02,0.009,,
-0.33,1,80,500,-0.104,0.068,0.048,,
-0.12,8,104,460,-0.128,0.068,0.06,,
-0.12,1,80,300,-0.128,0.068,0,,
-0.225,4.5,140,400,-0.11,0.05,0.03,,
-0.12,1,104,460,-0.092,0.02,0.048,,
-0.33,8,176,340,-0.092,0.032,0.06,,
-0.05,2.4,104,500,-0.128,0.08,0.048,,
-0.4,8,200,300,-0.08,0.02,0,,
-0.05,1,182,300,-0.14,0.068,0.051,,
-0.05,1,200,500,-0.14,0.08,0.06,,
-0.05,6.6,176,500,-0.128,0.08,0.012,,
-0.12,8,104,340,-0.092,0.02,0.045,,
-0.4,2.75,176,300,-0.104,0.08,0.048,,
-0.365,8,80,500,-0.08,0.08,0,,
-0.4,1,176,460,-0.14,0.08,0.012,,
-0.12,6.6,200,300,-0.128,0.032,0.012,,
-0.33,6.6,104,500,-0.113,0.068,0,,
-0.33,1,200,460,-0.092,0.032,0.012,,
-0.12,8,104,340,-0.08,0.068,0.012,,
-0.4,1,104,460,-0.092,0.032,0.012,,
-0.4,1,104,460,-0.128,0.032,0.048,,
-0.12,8,104,460,-0.089,0.02,0.012,,
-0.4,2.4,176,460,-0.092,0.032,0,,
-0.12,8,80,500,-0.08,0.029,0.048,,
-0.05,1,200,300,-0.089,0.08,0,,
-0.05,8,80,300,-0.08,0.08,0.06,,
-0.05,2.4,200,460,-0.095,0.068,0.015,,
-0.33,2.4,176,500,-0.14,0.02,0.06,,
-0.3475,8,80,470,-0.08,0.02,0.06,,
-0.4,6.6,176,460,-0.14,0.068,0.06,,
-0.33,2.4,200,460,-0.14,0.032,0.012,,
-0.33,6.6,80,340,-0.14,0.08,0.048,,
-0.05,6.95,176,460,-0.14,0.032,0.012,,
-0.05,6.6,176,460,-0.092,0.08,0.048,,
-0.05,2.75,176,460,-0.08,0.08,0.048,,
-0.33,8,176,300,-0.125,0.068,0.06,,
-0.33,6.25,176,350,-0.092,0.08,0,,
-0.225,4.5,140,400,-0.11,0.05,0.03,,
-0.225,4.5,140,400,-0.11,0.05,0.03,,
-0.3475,1,80,300,-0.131,0.02,0.06,,
-0.4,2.4,80,500,-0.092,0.071,0.06,,
-0.4,1,200,500,-0.14,0.08,0.051,,
-0.05,1,200,300,-0.08,0.02,0,,
-0.05,1,80,500,-0.08,0.02,0.06,,
-0.4,8,176,340,-0.092,0.08,0.012,,
-0.33,6.6,176,500,-0.128,0.035,0,,
-0.33,8,80,340,-0.092,0.068,0.048,,
-0.225,4.5,140,400,-0.11,0.05,0.03,,
-0.05,1,200,500,-0.14,0.08,0.06,,
-0.4,4.15,104,350,-0.128,0.08,0,,
-0.12,8,176,500,-0.128,0.032,0,,
-0.4,6.25,200,300,-0.092,0.068,0,,
-0.05,6.6,176,500,-0.092,0.02,0,,
-0.12,2.4,170,500,-0.092,0.02,0.012,,
-0.4,2.75,176,500,-0.128,0.068,0.012,,
-0.4,2.05,104,300,-0.128,0.068,0.048,,
-0.225,4.5,140,400,-0.11,0.05,0.03,,
-0.05,8,80,500,-0.08,0.02,0.06,,
-0.05,8,80,500,-0.14,0.02,0.06,,
-0.12,6.6,80,340,-0.14,0.068,0.015,,
-0.225,4.5,140,400,-0.11,0.05,0.03,,
-0.225,4.5,140,400,-0.11,0.05,0.03,,
-0.12,6.6,176,460,-0.092,0.08,0,,
-0.12,2.4,200,500,-0.128,0.047,0.048,,
-0.3125,8,104,340,-0.08,0.02,0.012,,
-0.225,4.5,140,400,-0.11,0.05,0.03,,
-0.33,4.15,80,460,-0.092,0.032,0,,
-0.05,1,80,300,-0.089,0.02,0.06,,
-0.225,2.4,176,460,-0.08,0.02,0.048,,
-0.05,8,80,300,-0.14,0.02,0,,
-0.12,1,80,340,-0.08,0.068,0.012,,
-0.33,1,176,460,-0.128,0.068,0,,
-0.4,1,182,330,-0.08,0.02,0.06,,
-0.225,8,104,460,-0.08,0.08,0.012,,
-0.33,6.6,200,460,-0.092,0.02,0.012,,
-0.05,8,182,300,-0.131,0.08,0.051,,
-0.05,2.4,200,500,-0.092,0.032,0.012,,
-0.33,6.6,176,300,-0.08,0.032,0.06,,
-0.33,8,104,460,-0.128,0.02,0.06,,
-0.225,4.5,140,400,-0.11,0.05,0.03,,
-0.4,2.4,80,350,-0.14,0.032,0.012,,
-0.4,8,200,300,-0.08,0.08,0,,
-0.12,2.4,104,500,-0.092,0.08,0.06,,
-0.05,1,80,300,-0.14,0.08,0,,
-0.4,1,80,330,-0.08,0.08,0.051,,
-0.33,6.6,104,500,-0.14,0.08,0.012,,
-0.225,4.5,140,400,-0.11,0.05,0.03,,
-0.05,1,80,300,-0.08,0.08,0,,
-0.33,2.4,80,460,-0.14,0.068,0.012,,
-0.225,4.5,140,400,-0.11,0.05,0.03,,
-0.33,2.4,104,500,-0.128,0.08,0.03,,
-0.05,1,200,500,-0.08,0.02,0.06,,
-0.4,8,80,320,-0.08,0.02,0.06,,
-0.33,6.6,80,300,-0.14,0.032,0.009,,
-0.4,6.6,80,300,-0.125,0.068,0.012,,
-0.12,2.4,200,300,-0.092,0.08,0.048,,
-0.05,6.6,200,460,-0.128,0.068,0.048,,
-0.2075,2.75,104,340,-0.14,0.068,0.06,,
-0.225,1,104,340,-0.128,0.02,0.012,,
-0.05,1,182,500,-0.089,0.08,0,,
-0.05,2.75,80,340,-0.128,0.02,0.048,,
-0.3475,6.6,176,500,-0.08,0.029,0.012,,
-0.1025,2.4,104,300,-0.092,0.068,0.012,,
-0.1025,1,200,330,-0.08,0.08,0,,
-0.33,6.6,104,300,-0.08,0.068,0.015,,
-0.05,6.6,176,460,-0.14,0.068,0.048,,
-0.05,1,80,500,-0.14,0.02,0.06,,
-0.05,6.6,80,340,-0.116,0.032,0.012,,
-0.4,8,200,300,-0.14,0.08,0.06,,
-0.12,2.05,200,460,-0.092,0.032,0.048,,
-0.225,4.5,140,400,-0.11,0.05,0.03,,
-0.33,1,104,300,-0.092,0.035,0.06,,
-0.12,1,200,460,-0.128,0.032,0.012,,
-0.05,6.6,104,340,-0.128,0.032,0.012,,
-0.225,4.5,140,400,-0.11,0.05,0.03,,
-0.05,8,200,300,-0.14,0.08,0.06,,
-0.33,8,80,500,-0.092,0.02,0.012,,
-0.05,8,200,500,-0.14,0.02,0.06,,
-0.4,8,80,500,-0.08,0.08,0.06,,
-0.33,6.6,104,340,-0.092,0.08,0.06,,
-0.12,6.6,80,300,-0.128,0.068,0.048,,
-0.4,8,200,300,-0.14,0.02,0,,
-0.05,1,80,500,-0.08,0.029,0,,
-0.05,1,200,500,-0.14,0.08,0,,
-0.05,1,104,300,-0.131,0.02,0.012,,
-0.3125,6.6,104,450,-0.14,0.02,0.048,,
-0.05,8,104,300,-0.128,0.032,0.048,,
-0.4,8,80,300,-0.08,0.02,0.06,,
-0.4,1,104,380,-0.092,0.08,0.012,,
-0.05,2.75,176,340,-0.08,0.068,0.012,,
-0.05,1,98,300,-0.08,0.08,0,,
-0.33,6.6,200,340,-0.14,0.068,0.048,,
-0.4,8,80,330,-0.14,0.02,0.06,,
-0.4,1,200,500,-0.08,0.08,0.06,,
-0.05,1,80,500,-0.14,0.02,0,,
-0.33,2.4,104,340,-0.08,0.08,0.048,,
-0.05,1,200,330,-0.08,0.029,0.06,,
-0.3475,8,200,500,-0.14,0.02,0.009,,
-0.05,4.5,200,350,-0.14,0.068,0,,
-0.4,8,80,500,-0.131,0.074,0,,
-0.3125,8,200,340,-0.128,0.08,0.048,,
-0.05,2.4,104,300,-0.14,0.08,0.048,,
-0.05,6.6,104,460,-0.08,0.032,0,,
-0.33,6.6,200,500,-0.092,0.032,0.012,,
-0.4,1,200,500,-0.14,0.02,0,,
-0.12,2.4,104,300,-0.14,0.032,0.012,,
-0.4,8,104,460,-0.128,0.068,0.048,,
-0.4,2.4,176,500,-0.092,0.032,0.048,,
-0.33,1,200,300,-0.128,0.068,0.015,,
-0.05,2.75,170,340,-0.14,0.068,0.048,,
-0.05,1,200,300,-0.131,0.02,0.06,,
-0.33,8,104,500,-0.092,0.08,0.027,,
-0.12,1,170,340,-0.08,0.068,0.048,,
-0.4,6.6,176,500,-0.128,0.032,0.027,,
-0.05,6.95,200,500,-0.14,0.02,0.06,,
-0.05,1,104,460,-0.092,0.02,0.015,,
-0.1025,8,200,330,-0.08,0.029,0.06,,
-0.05,8,80,500,-0.08,0.08,0,,
-0.05,4.5,80,410,-0.128,0.032,0,,
-0.33,1,176,340,-0.095,0.032,0,,
-0.33,6.6,200,350,-0.08,0.032,0.06,,
-0.4,8,104,460,-0.089,0.032,0.048,,
-0.12,2.4,176,500,-0.08,0.068,0.048,,
-0.12,6.6,104,340,-0.14,0.05,0,,
-0.33,8,170,460,-0.14,0.08,0,,
-0.4,6.95,80,500,-0.08,0.071,0,,
-0.1375,6.6,176,300,-0.14,0.068,0,,
-0.3475,2.4,80,300,-0.128,0.071,0.06,,
-0.05,4.5,176,340,-0.14,0.02,0.012,,
-0.05,6.6,176,460,-0.08,0.032,0.012,,
-0.12,1,80,460,-0.14,0.068,0.048,,
-0.33,1,176,400,-0.128,0.068,0.06,,
-0.33,2.75,80,460,-0.14,0.08,0.048,,
-0.33,8,176,300,-0.128,0.068,0.048,,
-0.33,6.6,140,340,-0.14,0.08,0.048,,
-0.05,8,200,500,-0.08,0.08,0.06,,
-0.05,8,176,300,-0.128,0.032,0.012,,
-0.33,8,110,500,-0.14,0.032,0.012,,
-0.05,6.6,80,460,-0.092,0.068,0.06,,
-0.225,4.5,140,400,-0.11,0.05,0.03,,
-0.12,2.4,170,460,-0.14,0.08,0.048,,
-0.225,4.5,140,400,-0.11,0.05,0.03,,
-0.4,1,200,300,-0.08,0.08,0,,
-0.12,8,200,340,-0.08,0.05,0.012,,
-0.4,1,200,300,-0.089,0.08,0,,
-0.1375,1,200,340,-0.128,0.08,0.048,,
-0.225,4.5,140,400,-0.11,0.05,0.03,,
-0.12,2.4,80,340,-0.128,0.02,0.048,,
-0.3125,2.4,176,460,-0.128,0.08,0.06,,
-0.33,1,98,460,-0.08,0.08,0.06,,
-0.05,1,200,500,-0.14,0.02,0.06,,
-0.05,2.4,176,460,-0.14,0.032,0.012,,
-0.4,8,200,500,-0.08,0.02,0.06,,
-0.4,1,200,300,-0.08,0.02,0,,
-0.33,2.4,80,300,-0.128,0.08,0,,
-0.12,6.25,80,460,-0.128,0.08,0.012,,
-0.4,2.4,176,460,-0.092,0.02,0.048,,
-0.4,2.4,200,340,-0.092,0.068,0.048,,
-0.12,2.4,104,460,-0.092,0.02,0,,
-0.225,6.6,176,460,-0.14,0.032,0.06,,
-0.12,2.4,200,300,-0.092,0.02,0.048,,
-0.4,8,80,300,-0.08,0.02,0,,
-0.05,2.05,80,330,-0.08,0.08,0.06,,
-0.33,2.4,200,500,-0.14,0.02,0.012,,
-0.12,1,104,460,-0.092,0.068,0.051,,
-0.05,2.05,200,330,-0.128,0.08,0.06,,
-0.4,6.6,200,460,-0.128,0.032,0.012,,
-0.12,2.4,80,340,-0.092,0.068,0.06,,
-0.4,2.4,104,300,-0.128,0.02,0.033,,
-0.225,4.5,140,400,-0.11,0.05,0.03,,
-0.33,8,176,500,-0.128,0.032,0.048,,
-0.4,8,80,500,-0.08,0.02,0,,
-0.05,8,176,340,-0.14,0.02,0.06,,
-0.4,2.05,80,500,-0.14,0.02,0.06,,
-0.12,1,80,300,-0.08,0.02,0.048,,
-0.4,8,176,460,-0.092,0.062,0,,
-0.4,6.6,140,500,-0.14,0.035,0.048,,
-0.3475,2.4,104,300,-0.08,0.068,0,,
-0.05,8,104,460,-0.14,0.032,0,,
-0.33,2.4,176,460,-0.08,0.068,0,,
-0.33,2.4,80,300,-0.092,0.068,0.06,,
-0.4,2.4,176,450,-0.128,0.02,0,,
-0.225,4.5,140,400,-0.11,0.05,0.03,,
-0.4,6.6,170,340,-0.125,0.032,0.06,,
-0.4,2.05,200,500,-0.14,0.032,0.048,,
-0.1025,6.95,80,500,-0.128,0.02,0,,
